feature_name,feature_type,scaling_method,original_mean,original_std,original_min,original_max,original_nunique,is_scaled
Away_AvgBlockedShotsAgainst_Away_Last10,Average,Z-Score Standardization,3.386444763972594,1.1482120977325316,0.0,15.0,253,True
Away_AvgBlockedShotsAgainst_Away_Last15,Average,Z-Score Standardization,3.3785702053259454,1.0604462166306732,0.0,15.0,482,True
Away_AvgBlockedShotsAgainst_Away_Last3,Average,Z-Score Standardization,3.405820371299548,1.6172371970539499,0.0,18.0,55,True
Away_AvgBlockedShotsAgainst_Away_Last5,Average,Z-Score Standardization,3.399686865726721,1.3748213883918712,0.0,15.0,103,True
Away_AvgBlockedShotsAgainst_Home_Last10,Average,Z-Score Standardization,2.8268640067281416,1.0289572598321393,0.0,12.0,232,True
Away_AvgBlockedShotsAgainst_Home_Last15,Average,Z-Score Standardization,2.8204342252785404,0.9573295574880104,0.0,12.0,438,True
Away_AvgBlockedShotsAgainst_Home_Last3,Average,Z-Score Standardization,2.830960715674834,1.4447652045433164,0.0,16.0,50,True
Away_AvgBlockedShotsAgainst_Home_Last5,Average,Z-Score Standardization,2.8283044325351216,1.2326525556792645,0.0,12.0,93,True
Away_AvgBlockedShotsAgainst_Total_Last10,Average,Z-Score Standardization,3.118151714848092,1.0835922526451438,0.0,15.0,257,True
Away_AvgBlockedShotsAgainst_Total_Last15,Average,Z-Score Standardization,3.11459703791624,0.998578251421357,0.0,15.0,475,True
Away_AvgBlockedShotsAgainst_Total_Last3,Average,Z-Score Standardization,3.1289814233252415,1.5274209180753833,0.0,16.0,54,True
Away_AvgBlockedShotsAgainst_Total_Last5,Average,Z-Score Standardization,3.124675608609627,1.3140945219222613,0.0,15.0,106,True
Away_AvgBlockedShotsFor_Away_Last10,Average,Z-Score Standardization,2.8125244543943086,0.9725396489568524,0.0,12.0,225,True
Away_AvgBlockedShotsFor_Away_Last15,Average,Z-Score Standardization,2.799513983123012,0.8876819974156793,0.0,12.0,411,True
Away_AvgBlockedShotsFor_Away_Last3,Average,Z-Score Standardization,2.836104142275743,1.416714583532726,0.0,18.0,45,True
Away_AvgBlockedShotsFor_Away_Last5,Average,Z-Score Standardization,2.829716008379191,1.1937458067267237,0.0,12.0,93,True
Away_AvgBlockedShotsFor_Home_Last10,Average,Z-Score Standardization,3.373714488302539,1.1131493269596817,0.0,15.0,248,True
Away_AvgBlockedShotsFor_Home_Last15,Average,Z-Score Standardization,3.356563674805585,1.0246801221622694,0.0,15.0,461,True
Away_AvgBlockedShotsFor_Home_Last3,Average,Z-Score Standardization,3.4109879424348506,1.5945405569738986,0.0,17.0,53,True
Away_AvgBlockedShotsFor_Home_Last5,Average,Z-Score Standardization,3.3979950239895516,1.3547191019470823,0.0,16.0,106,True
Away_AvgBlockedShotsFor_Total_Last10,Average,Z-Score Standardization,3.1047744217166895,1.035868153230752,0.0,15.0,245,True
Away_AvgBlockedShotsFor_Total_Last15,Average,Z-Score Standardization,3.0945664739800463,0.9413548647147059,0.0,15.0,460,True
Away_AvgBlockedShotsFor_Total_Last3,Average,Z-Score Standardization,3.117921992677972,1.4996717794118413,0.0,17.0,53,True
Away_AvgBlockedShotsFor_Total_Last5,Average,Z-Score Standardization,3.1158126455252027,1.2733565329572634,0.0,15.0,105,True
Away_AvgCornersAgainst_Away_Last10,Average,Z-Score Standardization,5.367731720752267,1.4006473914272737,0.0,20.0,321,True
Away_AvgCornersAgainst_Away_Last15,Average,Z-Score Standardization,5.369651388826629,1.2876267268185013,0.0,20.0,590,True
Away_AvgCornersAgainst_Away_Last3,Average,Z-Score Standardization,5.3568334527098465,2.0152794977611936,0.0,20.0,67,True
Away_AvgCornersAgainst_Away_Last5,Average,Z-Score Standardization,5.362585665776076,1.6960454472634494,0.0,20.0,135,True
Away_AvgCornersAgainst_Home_Last10,Average,Z-Score Standardization,4.4794046004812635,1.2980781001957569,0.0,19.0,285,True
Away_AvgCornersAgainst_Home_Last15,Average,Z-Score Standardization,4.4812011617825664,1.2078716858906442,0.0,19.0,538,True
Away_AvgCornersAgainst_Home_Last3,Average,Z-Score Standardization,4.459405008107347,1.8067468911319908,0.0,19.0,58,True
Away_AvgCornersAgainst_Home_Last5,Average,Z-Score Standardization,4.470302358939401,1.540571634743343,0.0,19.0,121,True
Away_AvgCornersAgainst_Total_Last10,Average,Z-Score Standardization,4.930485403148494,1.34203009890923,0.0,20.0,315,True
Away_AvgCornersAgainst_Total_Last15,Average,Z-Score Standardization,4.931915228802009,1.232765728254927,0.0,20.0,590,True
Away_AvgCornersAgainst_Total_Last3,Average,Z-Score Standardization,4.92353384458531,1.917704297383064,0.0,20.0,66,True
Away_AvgCornersAgainst_Total_Last5,Average,Z-Score Standardization,4.922812338668044,1.6296036063487926,0.0,20.0,132,True
Away_AvgCornersFor_Away_Last10,Average,Z-Score Standardization,4.479934213166194,1.2100527320711416,0.0,15.0,271,True
Away_AvgCornersFor_Away_Last15,Average,Z-Score Standardization,4.478891985415995,1.0962153694769967,0.0,13.0,505,True
Away_AvgCornersFor_Away_Last3,Average,Z-Score Standardization,4.479381970735701,1.7957417921947376,0.0,16.0,60,True
Away_AvgCornersFor_Away_Last5,Average,Z-Score Standardization,4.482000542926947,1.5043348240786292,0.0,15.0,118,True
Away_AvgCornersFor_Home_Last10,Average,Z-Score Standardization,5.366052350746284,1.3840583755642706,0.0,18.0,308,True
Away_AvgCornersFor_Home_Last15,Average,Z-Score Standardization,5.366010211499871,1.26905186706958,0.0,18.0,586,True
Away_AvgCornersFor_Home_Last3,Average,Z-Score Standardization,5.3740836755896035,2.0078653723984896,0.0,19.0,66,True
Away_AvgCornersFor_Home_Last5,Average,Z-Score Standardization,5.367842585886129,1.688191536527936,0.0,19.0,135,True
Away_AvgCornersFor_Total_Last10,Average,Z-Score Standardization,4.914765158448195,1.2951927173619882,0.0,15.0,315,True
Away_AvgCornersFor_Total_Last15,Average,Z-Score Standardization,4.914206380136291,1.1713854090974267,0.0,15.0,583,True
Away_AvgCornersFor_Total_Last3,Average,Z-Score Standardization,4.910617097881605,1.900583090546908,0.0,20.0,66,True
Away_AvgCornersFor_Total_Last5,Average,Z-Score Standardization,4.9151166848314505,1.6024165632102143,0.0,19.0,131,True
Away_AvgExpectedGoalsFor_Away_Last10,Average,Z-Score Standardization,1.2194374990713914,0.4293529829446201,0.07,4.37,4910,True
