AHCh,(AHCh: 0.0)
AHh,(AHh: 0.0)
Avg<2.5,(Avg<2.5: -1.0)
Avg>2.5,(Avg>2.5: -1.0)
AvgA,(AvgA: -1.0)
AvgAHA,(AvgAHA: -1.0)
AvgAHH,(AvgAHH: -1.0)
AvgC<2.5,(AvgC<2.5: -1.0)
AvgC>2.5,(AvgC>2.5: -1.0)
AvgCA,(AvgCA: -1.0)
AvgCAHA,(AvgCAHA: -1.0)
AvgCAHH,(AvgCAHH: -1.0)
AvgCD,(AvgCD: -1.0)
AvgCH,(AvgCH: -1.0)
AvgD,(AvgD: -1.0)
AvgH,(AvgH: -1.0)
AwayBlockedShots,(AwayBlockedShots: -1.449780562268188e-08)
AwayCorners,(AwayCorners: 2.2654858184978366e-06)
AwayExpectedGoals,(AwayExpectedGoals: -7.31779703500024e-09)
AwayFormation,(AwayFormation: nan)
AwayFouls,(AwayFouls: 12.318536758422852)
AwayOffsides,(AwayOffsides: 1.874245047569275)
AwayPassAccuracy,(AwayPassAccuracy: 77.098876953125)
AwayPassesAccurate,(AwayPassesAccurate: -9.5218361195748e-08)
AwayPossession,(AwayPossession: 48.99742889404297)
AwayRedCards,(AwayRedCards: 0.0)
AwaySaves,(AwaySaves: 3.2139594554901123)
AwayShots,(AwayShots: 1.7996295355260372e-05)
AwayShotsInsideBox,(AwayShotsInsideBox: -2.913893837330761e-08)
AwayShotsOffTarget,(AwayShotsOffTarget: 2.7366445465304423e-06)
AwayShotsOutsideBox,(AwayShotsOutsideBox: -1.1986545978004415e-08)
AwayShotsTarget,(AwayShotsTarget: 2.0862933524767868e-05)
AwayTeam,(AwayTeam: Zulte Waregem)
AwayTeamELO,(AwayTeamELO: 0.0)
AwayTeamID,(AwayTeamID: 600)
AwayTeamWinner,(AwayTeamWinner: <NA>)
AwayTotalPasses,(AwayTotalPasses: 3.316191055091622e-08)
AwayYellowCards,(AwayYellowCards: 0.1818181872367859)
Away_AvgBlockedShotsAgainst_Away_Last10,(Away_AvgBlockedShotsAgainst_Away_Last10: -1.410657750966493e-05)
Away_AvgBlockedShotsAgainst_Away_Last15,(Away_AvgBlockedShotsAgainst_Away_Last15: -5.103724561195122e-06)
Away_AvgBlockedShotsAgainst_Away_Last3,(Away_AvgBlockedShotsAgainst_Away_Last3: -3.479207225609571e-05)
Away_AvgBlockedShotsAgainst_Away_Last5,(Away_AvgBlockedShotsAgainst_Away_Last5: 2.1310270312824287e-06)
Away_AvgBlockedShotsAgainst_Home_Last10,(Away_AvgBlockedShotsAgainst_Home_Last10: -1.1202600944670849e-05)
Away_AvgBlockedShotsAgainst_Home_Last15,(Away_AvgBlockedShotsAgainst_Home_Last15: 1.2924971997563262e-05)
Away_AvgBlockedShotsAgainst_Home_Last3,(Away_AvgBlockedShotsAgainst_Home_Last3: -6.018014391884208e-05)
Away_AvgBlockedShotsAgainst_Home_Last5,(Away_AvgBlockedShotsAgainst_Home_Last5: -2.7894513550563715e-05)
Away_AvgBlockedShotsAgainst_Total_Last10,(Away_AvgBlockedShotsAgainst_Total_Last10: 4.322840595705202e-06)
Away_AvgBlockedShotsAgainst_Total_Last15,(Away_AvgBlockedShotsAgainst_Total_Last15: -2.1248193661449477e-05)
Away_AvgBlockedShotsAgainst_Total_Last3,(Away_AvgBlockedShotsAgainst_Total_Last3: -3.167501745338086e-06)
Away_AvgBlockedShotsAgainst_Total_Last5,(Away_AvgBlockedShotsAgainst_Total_Last5: -4.313570389058441e-05)
Away_AvgBlockedShotsFor_Away_Last10,(Away_AvgBlockedShotsFor_Away_Last10: 3.1740801205160096e-05)
Away_AvgBlockedShotsFor_Away_Last15,(Away_AvgBlockedShotsFor_Away_Last15: 1.7946280422620475e-05)
Away_AvgBlockedShotsFor_Away_Last3,(Away_AvgBlockedShotsFor_Away_Last3: -2.4190467229345813e-06)
Away_AvgBlockedShotsFor_Away_Last5,(Away_AvgBlockedShotsFor_Away_Last5: 6.889899395901011e-06)
Away_AvgBlockedShotsFor_Home_Last10,(Away_AvgBlockedShotsFor_Home_Last10: 3.943742558476515e-05)
Away_AvgBlockedShotsFor_Home_Last15,(Away_AvgBlockedShotsFor_Home_Last15: -1.1904051461897325e-05)
Away_AvgBlockedShotsFor_Home_Last3,(Away_AvgBlockedShotsFor_Home_Last3: 4.6808439947199076e-05)
Away_AvgBlockedShotsFor_Home_Last5,(Away_AvgBlockedShotsFor_Home_Last5: -5.920133389736293e-06)
Away_AvgBlockedShotsFor_Total_Last10,(Away_AvgBlockedShotsFor_Total_Last10: -2.427926847303752e-05)
Away_AvgBlockedShotsFor_Total_Last15,(Away_AvgBlockedShotsFor_Total_Last15: 2.7654270525090396e-05)
Away_AvgBlockedShotsFor_Total_Last3,(Away_AvgBlockedShotsFor_Total_Last3: -7.282027354449383e-07)
Away_AvgBlockedShotsFor_Total_Last5,(Away_AvgBlockedShotsFor_Total_Last5: -2.3743015731270134e-07)
Away_AvgCornersAgainst_Away_Last10,(Away_AvgCornersAgainst_Away_Last10: -4.8115933168446645e-05)
Away_AvgCornersAgainst_Away_Last15,(Away_AvgCornersAgainst_Away_Last15: -1.557563155074604e-05)
Away_AvgCornersAgainst_Away_Last3,(Away_AvgCornersAgainst_Away_Last3: 5.695090294466354e-06)
Away_AvgCornersAgainst_Away_Last5,(Away_AvgCornersAgainst_Away_Last5: 4.563702896120958e-05)
Away_AvgCornersAgainst_Home_Last10,(Away_AvgCornersAgainst_Home_Last10: -1.0816544090630487e-05)
Away_AvgCornersAgainst_Home_Last15,(Away_AvgCornersAgainst_Home_Last15: 6.864529495942406e-06)
Away_AvgCornersAgainst_Home_Last3,(Away_AvgCornersAgainst_Home_Last3: 5.1654728849825915e-06)
Away_AvgCornersAgainst_Home_Last5,(Away_AvgCornersAgainst_Home_Last5: 3.7420257285702974e-05)
Away_AvgCornersAgainst_Total_Last10,(Away_AvgCornersAgainst_Total_Last10: 5.869750020792708e-05)
Away_AvgCornersAgainst_Total_Last15,(Away_AvgCornersAgainst_Total_Last15: 1.797281038307119e-05)
Away_AvgCornersAgainst_Total_Last3,(Away_AvgCornersAgainst_Total_Last3: 7.057137554511428e-05)
Away_AvgCornersAgainst_Total_Last5,(Away_AvgCornersAgainst_Total_Last5: 7.763168468954973e-06)
Away_AvgCornersFor_Away_Last10,(Away_AvgCornersFor_Away_Last10: 5.351197978598066e-05)
Away_AvgCornersFor_Away_Last15,(Away_AvgCornersFor_Away_Last15: 3.409824057598598e-05)
Away_AvgCornersFor_Away_Last3,(Away_AvgCornersFor_Away_Last3: 2.617622385514551e-06)
Away_AvgCornersFor_Away_Last5,(Away_AvgCornersFor_Away_Last5: 1.4649239119535196e-06)
Away_AvgCornersFor_Home_Last10,(Away_AvgCornersFor_Home_Last10: -2.36616706388304e-05)
Away_AvgCornersFor_Home_Last15,(Away_AvgCornersFor_Home_Last15: -2.312216383870691e-05)
Away_AvgCornersFor_Home_Last3,(Away_AvgCornersFor_Home_Last3: 4.219995025778189e-05)
Away_AvgCornersFor_Home_Last5,(Away_AvgCornersFor_Home_Last5: -1.2600352420122363e-05)
Away_AvgCornersFor_Total_Last10,(Away_AvgCornersFor_Total_Last10: -1.7949048924492672e-05)
Away_AvgCornersFor_Total_Last15,(Away_AvgCornersFor_Total_Last15: -5.984492759125715e-07)
Away_AvgCornersFor_Total_Last3,(Away_AvgCornersFor_Total_Last3: 7.459932385245338e-05)
Away_AvgCornersFor_Total_Last5,(Away_AvgCornersFor_Total_Last5: 4.983742837794125e-05)
Away_AvgExpectedGoalsFor_Away_Last10,(Away_AvgExpectedGoalsFor_Away_Last10: -6.908466457389295e-05)
Away_AvgExpectedGoalsFor_Away_Last15,(Away_AvgExpectedGoalsFor_Away_Last15: -4.134846676606685e-05)
Away_AvgExpectedGoalsFor_Away_Last3,(Away_AvgExpectedGoalsFor_Away_Last3: -8.151309884851798e-05)
Away_AvgExpectedGoalsFor_Away_Last5,(Away_AvgExpectedGoalsFor_Away_Last5: -9.185254020849243e-05)
Away_AvgExpectedGoalsFor_Home_Last10,(Away_AvgExpectedGoalsFor_Home_Last10: -2.4327366190846078e-05)
Away_AvgExpectedGoalsFor_Home_Last15,(Away_AvgExpectedGoalsFor_Home_Last15: -2.7106787456432357e-05)
Away_AvgExpectedGoalsFor_Home_Last3,(Away_AvgExpectedGoalsFor_Home_Last3: -4.5182056055637076e-05)
Away_AvgExpectedGoalsFor_Home_Last5,(Away_AvgExpectedGoalsFor_Home_Last5: -4.996240386390127e-05)
Away_AvgExpectedGoalsFor_Total_Last10,(Away_AvgExpectedGoalsFor_Total_Last10: -7.90891790529713e-05)
Away_AvgExpectedGoalsFor_Total_Last15,(Away_AvgExpectedGoalsFor_Total_Last15: -6.0962047427892685e-05)
Away_AvgExpectedGoalsFor_Total_Last3,(Away_AvgExpectedGoalsFor_Total_Last3: -0.00012884462194051594)
Away_AvgExpectedGoalsFor_Total_Last5,(Away_AvgExpectedGoalsFor_Total_Last5: -6.171654240461066e-05)
Away_AvgFoulsAgainst_Away_Last10,(Away_AvgFoulsAgainst_Away_Last10: 12.06933307647705)
Away_AvgFoulsAgainst_Away_Last15,(Away_AvgFoulsAgainst_Away_Last15: 12.061405181884766)
Away_AvgFoulsAgainst_Away_Last3,(Away_AvgFoulsAgainst_Away_Last3: 12.078927993774414)
Away_AvgFoulsAgainst_Away_Last5,(Away_AvgFoulsAgainst_Away_Last5: 12.071067810058594)
Away_AvgFoulsAgainst_Home_Last10,(Away_AvgFoulsAgainst_Home_Last10: 12.303943634033203)
Away_AvgFoulsAgainst_Home_Last15,(Away_AvgFoulsAgainst_Home_Last15: 12.297680854797363)
Away_AvgFoulsAgainst_Home_Last3,(Away_AvgFoulsAgainst_Home_Last3: 12.2970609664917)
Away_AvgFoulsAgainst_Home_Last5,(Away_AvgFoulsAgainst_Home_Last5: 12.296348571777344)
Away_AvgFoulsAgainst_Total_Last10,(Away_AvgFoulsAgainst_Total_Last10: 2.023898377956357e-05)
Away_AvgFoulsAgainst_Total_Last15,(Away_AvgFoulsAgainst_Total_Last15: -4.927455279357673e-07)
Away_AvgFoulsAgainst_Total_Last3,(Away_AvgFoulsAgainst_Total_Last3: 4.035293557080877e-07)
Away_AvgFoulsAgainst_Total_Last5,(Away_AvgFoulsAgainst_Total_Last5: 1.4094216567173135e-05)
Away_AvgFoulsFor_Away_Last10,(Away_AvgFoulsFor_Away_Last10: 12.281516075134277)
Away_AvgFoulsFor_Away_Last15,(Away_AvgFoulsFor_Away_Last15: 12.26910400390625)
Away_AvgFoulsFor_Away_Last3,(Away_AvgFoulsFor_Away_Last3: 12.29092788696289)
Away_AvgFoulsFor_Away_Last5,(Away_AvgFoulsFor_Away_Last5: 12.286032676696777)
Away_AvgFoulsFor_Home_Last10,(Away_AvgFoulsFor_Home_Last10: 12.083208084106445)
Away_AvgFoulsFor_Home_Last15,(Away_AvgFoulsFor_Home_Last15: 12.075420379638672)
Away_AvgFoulsFor_Home_Last3,(Away_AvgFoulsFor_Home_Last3: 12.079245567321777)
Away_AvgFoulsFor_Home_Last5,(Away_AvgFoulsFor_Home_Last5: 12.082287788391113)
Away_AvgFoulsFor_Total_Last10,(Away_AvgFoulsFor_Total_Last10: 5.576489002123708e-06)
Away_AvgFoulsFor_Total_Last15,(Away_AvgFoulsFor_Total_Last15: 1.5809266187716275e-05)
Away_AvgFoulsFor_Total_Last3,(Away_AvgFoulsFor_Total_Last3: -1.5534884369117208e-05)
Away_AvgFoulsFor_Total_Last5,(Away_AvgFoulsFor_Total_Last5: 2.8885542633361183e-06)
Away_AvgGoalsConceded_Away_Last10,(Away_AvgGoalsConceded_Away_Last10: 1.4953161478042603)
Away_AvgGoalsConceded_Away_Last15,(Away_AvgGoalsConceded_Away_Last15: 1.4932323694229126)
Away_AvgGoalsConceded_Away_Last3,(Away_AvgGoalsConceded_Away_Last3: 1.4996980428695679)
Away_AvgGoalsConceded_Away_Last5,(Away_AvgGoalsConceded_Away_Last5: 1.4980560541152954)
Away_AvgGoalsConceded_Home_Last10,(Away_AvgGoalsConceded_Home_Last10: 1.1882531642913818)
Away_AvgGoalsConceded_Home_Last15,(Away_AvgGoalsConceded_Home_Last15: 1.1859229803085327)
Away_AvgGoalsConceded_Home_Last3,(Away_AvgGoalsConceded_Home_Last3: 1.1950427293777466)
Away_AvgGoalsConceded_Home_Last5,(Away_AvgGoalsConceded_Home_Last5: 1.1910810470581055)
Away_AvgGoalsConceded_Total_Last10,(Away_AvgGoalsConceded_Total_Last10: -2.442791264911648e-05)
Away_AvgGoalsConceded_Total_Last15,(Away_AvgGoalsConceded_Total_Last15: -2.54172755376203e-06)
Away_AvgGoalsConceded_Total_Last3,(Away_AvgGoalsConceded_Total_Last3: -3.177823600708507e-05)
Away_AvgGoalsConceded_Total_Last5,(Away_AvgGoalsConceded_Total_Last5: -4.227310273563489e-05)
Away_AvgGoalsScored_Away_Last10,(Away_AvgGoalsScored_Away_Last10: 1.2532267570495605)
Away_AvgGoalsScored_Away_Last15,(Away_AvgGoalsScored_Away_Last15: 1.2531532049179077)
Away_AvgGoalsScored_Away_Last3,(Away_AvgGoalsScored_Away_Last3: 1.2509582042694092)
Away_AvgGoalsScored_Away_Last5,(Away_AvgGoalsScored_Away_Last5: 1.2523356676101685)
Away_AvgGoalsScored_Home_Last10,(Away_AvgGoalsScored_Home_Last10: 1.5498992204666138)
Away_AvgGoalsScored_Home_Last15,(Away_AvgGoalsScored_Home_Last15: 1.551426649093628)
Away_AvgGoalsScored_Home_Last3,(Away_AvgGoalsScored_Home_Last3: 1.5433175563812256)
Away_AvgGoalsScored_Home_Last5,(Away_AvgGoalsScored_Home_Last5: 1.5468388795852661)
Away_AvgGoalsScored_Total_Last10,(Away_AvgGoalsScored_Total_Last10: -1.869090920081362e-05)
Away_AvgGoalsScored_Total_Last15,(Away_AvgGoalsScored_Total_Last15: -2.390430381637998e-06)
Away_AvgGoalsScored_Total_Last3,(Away_AvgGoalsScored_Total_Last3: -0.0001070290309144184)
Away_AvgGoalsScored_Total_Last5,(Away_AvgGoalsScored_Total_Last5: -0.00010488730185898021)
Away_AvgOffsidesAgainst_Away_Last10,(Away_AvgOffsidesAgainst_Away_Last10: 2.0075342655181885)
Away_AvgOffsidesAgainst_Away_Last15,(Away_AvgOffsidesAgainst_Away_Last15: 2.0147335529327393)
Away_AvgOffsidesAgainst_Away_Last3,(Away_AvgOffsidesAgainst_Away_Last3: 2.0003550052642822)
Away_AvgOffsidesAgainst_Away_Last5,(Away_AvgOffsidesAgainst_Away_Last5: 2.0006093978881836)
Away_AvgOffsidesAgainst_Home_Last10,(Away_AvgOffsidesAgainst_Home_Last10: 1.8744672536849976)
Away_AvgOffsidesAgainst_Home_Last15,(Away_AvgOffsidesAgainst_Home_Last15: 1.8833130598068237)
Away_AvgOffsidesAgainst_Home_Last3,(Away_AvgOffsidesAgainst_Home_Last3: 1.8644933700561523)
Away_AvgOffsidesAgainst_Home_Last5,(Away_AvgOffsidesAgainst_Home_Last5: 1.867521047592163)
Away_AvgOffsidesAgainst_Total_Last10,(Away_AvgOffsidesAgainst_Total_Last10: -3.8074567783041857e-06)
Away_AvgOffsidesAgainst_Total_Last15,(Away_AvgOffsidesAgainst_Total_Last15: -1.9741689811780816e-06)
Away_AvgOffsidesAgainst_Total_Last3,(Away_AvgOffsidesAgainst_Total_Last3: 2.543067603255622e-05)
Away_AvgOffsidesAgainst_Total_Last5,(Away_AvgOffsidesAgainst_Total_Last5: 5.775418230768992e-06)
Away_AvgOffsidesFor_Away_Last10,(Away_AvgOffsidesFor_Away_Last10: 1.8762996196746826)
Away_AvgOffsidesFor_Away_Last15,(Away_AvgOffsidesFor_Away_Last15: 1.8813375234603882)
Away_AvgOffsidesFor_Away_Last3,(Away_AvgOffsidesFor_Away_Last3: 1.8741235733032227)
Away_AvgOffsidesFor_Away_Last5,(Away_AvgOffsidesFor_Away_Last5: 1.8721917867660522)
