market,model_identifier,tradeoff_threshold,win_rate_at_tradeoff,bets_at_tradeoff,wins_at_tradeoff
12O05,gradient_boosting_V2_PCA_NoOdds_L0,0.5000,75.5851,109331,82638.0000
12O15,monte_carlo_V2_PCA_WithOdds_L0,0.6000,66.4424,28095,18667.0000
12O25,random_forest_V1_NonPCA_WithOdds_L0,0.6000,64.8884,4255,2761.0000
12U45,random_forest_V2_PCA_WithOdds_L0,0.6500,65.4867,1356,888.0000
1XO05,gradient_boosting_V2_PCA_WithOdds_L0,0.5000,65.5543,92566,60681.0000
1XO15,poisson_V2_PCA_NoOdds_L0,0.5500,64.2499,37253,23935.0000
1XO25,random_forest_V2_PCA_WithOdds_L0,0.6000,64.2132,1182,759.0000
1XU35,monte_carlo_V2_PCA_WithOdds_L0,0.6000,65.7598,1066,701.0000
1XU45,poisson_V2_PCA_NoOdds_L0,0.5000,62.5083,93554,58479.0000
A,gradient_boosting_V2_PCA_NoOdds_L0,0.5500,66.6749,4048,2699.0000
AO05,gradient_boosting_V2_PCA_NoOdds_L0,0.5500,66.6749,4048,2699.0000
AO15,gradient_boosting_V2_PCA_NoOdds_L0,0.5500,65.5624,1298,851.0000
AO25,random_forest_V1_NonPCA_WithOdds_L0,0.5500,64.4148,1051,677.0000
BTTSYes,gradient_boosting_V1_NonPCA_WithOdds_L0,0.6500,62.5352,1065,666.0000
DrawOrAway,random_forest_V2_PCA_WithOdds_L0,0.5500,64.2080,64520,41427.0000
H,monte_carlo_V1_NonPCA_WithOdds_L0,0.5500,66.8491,16265,10873.0000
HO05,monte_carlo_V2_PCA_WithOdds_L0,0.5500,66.3001,16457,10911.0000
HO15,monte_carlo_V2_PCA_WithOdds_L0,0.5500,65.8867,4872,3210.0000
HO25,random_forest_V1_NonPCA_NoOdds_L0,0.6000,63.5084,1066,677.0000
HomeOrAway,monte_carlo_V1_NonPCA_WithOdds_L0,0.5000,75.5952,108958,82367.0000
HomeOrDraw,gradient_boosting_V1_NonPCA_NoOdds_L0,0.5000,72.1448,98732,71230.0000
O05,monte_carlo_V1_NonPCA_WithOdds_L0,0.5000,92.9572,109076,101394.0000
O15,monte_carlo_V1_NonPCA_WithOdds_L0,0.5000,75.7194,108486,82145.0000
O25,monte_carlo_V2_PCA_WithOdds_L0,0.6000,65.4638,9422,6168.0000
U25,monte_carlo_V2_PCA_WithOdds_L0,0.6000,63.6681,1145,729.0000
U35,gradient_boosting_V1_NonPCA_NoOdds_L0,0.5000,70.3594,107093,75350.0000
U45,gradient_boosting_V1_NonPCA_NoOdds_L0,0.5000,85.0293,109180,92835.0000
X2O05,monte_carlo_V2_PCA_NoOdds_L0,0.5500,65.0780,28850,18775.0000
X2O15,gradient_boosting_V2_PCA_WithOdds_L0,0.6000,65.7497,6689,4398.0000
X2O25,gradient_boosting_V1_NonPCA_NoOdds_L0,0.6000,64.0487,1477,946.0000
X2U45,random_forest_V2_PCA_WithOdds_L0,0.6000,66.6871,9765,6512.0000
