market_suffix,model_full_name,feature_type,min_pred_prob_threshold,cumulative_bets_onwards,cumulative_wr_onwards(%)
prob_12,gradient_boosting_pca_without_odds,PCA,0.65,219512,75.58128940559058
prob_12,poisson_pca_without_odds,PCA,0.7,219254,75.59269158145348
prob_12,gradient_boosting_pca_without_odds,PCA,0.75,117702,77.94260080542387
prob_12,gradient_boosting_pca_without_odds,PCA,0.8,18272,84.29290718038528
prob_12,gradient_boosting_pca_without_odds,PCA,0.85,3622,88.23854224185533
prob_12_and_O15,poisson_pca_without_odds,PCA,0.65,24014,70.45057050054136
prob_12_and_O15,gradient_boosting_pca_without_odds,PCA,0.7,8684,75.03454629203132
prob_12_and_O15,gradient_boosting_pca_without_odds,PCA,0.75,2898,78.60593512767426
prob_12_and_O15,gradient_boosting_pca_without_odds,PCA,0.8,780,81.28205128205128
prob_12_and_O15,gradient_boosting_pca_without_odds,PCA,0.85,148,87.83783783783784
prob_12_and_O25,gradient_boosting_pca_without_odds,PCA,0.65,2284,67.16287215411558
prob_12_and_O25,gradient_boosting_pca_without_odds,PCA,0.7,776,71.64948453608247
prob_12_and_O25,gradient_boosting_pca_without_odds,PCA,0.75,280,75.71428571428571
prob_12_and_O25,poisson_pca_without_odds,PCA,0.8,178,80.89887640449437
prob_12_and_O35,poisson_pca_without_odds,PCA,0.65,146,61.64383561643836
prob_12_and_U45,poisson_pca_without_odds,PCA,0.65,8942,64.97427868485798
prob_1X,gradient_boosting_pca_without_odds,PCA,0.65,150392,75.71147401457524
prob_1X,poisson_pca_without_odds,PCA,0.7,101512,79.0330207266136
prob_1X,poisson_pca_without_odds,PCA,0.75,63088,82.58305858483388
prob_1X,poisson_pca_without_odds,PCA,0.8,31988,86.37614105289484
prob_1X,poisson_pca_without_odds,PCA,0.85,13760,90.39244186046511
prob_1X_and_O15,poisson_pca_without_odds,PCA,0.65,24760,73.40064620355412
prob_1X_and_O15,poisson_pca_without_odds,PCA,0.7,12914,76.90878116772495
prob_1X_and_O15,gradient_boosting_pca_without_odds,PCA,0.75,5784,80.49792531120332
prob_1X_and_O15,poisson_pca_without_odds,PCA,0.8,3020,82.64900662251655
prob_1X_and_O15,gradient_boosting_pca_without_odds,PCA,0.85,362,85.0828729281768
prob_1X_and_O25,gradient_boosting_pca_without_odds,PCA,0.65,1204,70.09966777408637
prob_1X_and_O25,gradient_boosting_pca_without_odds,PCA,0.7,346,72.25433526011561
prob_1X_and_O25,poisson_pca_without_odds,PCA,0.75,438,72.6027397260274
prob_1X_and_O25,poisson_pca_without_odds,PCA,0.8,148,85.13513513513513
prob_1X_and_U35,poisson_pca_without_odds,PCA,0.65,184,63.04347826086957
prob_1X_and_U45,poisson_pca_without_odds,PCA,0.65,57490,69.55644459906071
prob_1X_and_U45,poisson_pca_without_odds,PCA,0.7,14604,72.30895645028758
prob_1X_and_U45,poisson_pca_without_odds,PCA,0.75,860,78.13953488372093
prob_A,gradient_boosting_pca_without_odds,PCA,0.65,2550,74.3529411764706
prob_A,gradient_boosting_pca_without_odds,PCA,0.7,1180,77.96610169491525
prob_A,gradient_boosting_pca_without_odds,PCA,0.75,536,77.61194029850746
prob_A,gradient_boosting_pca_without_odds,PCA,0.8,188,78.72340425531915
prob_A,poisson_pca_without_odds,PCA,0.85,182,73.62637362637363
prob_A_and_O15,gradient_boosting_pca_without_odds,PCA,0.65,806,70.96774193548387
prob_A_and_O15,gradient_boosting_pca_without_odds,PCA,0.7,388,71.1340206185567
prob_A_and_O15,gradient_boosting_pca_without_odds,PCA,0.75,178,76.40449438202246
prob_A_and_O15,poisson_pca_without_odds,PCA,0.8,142,71.83098591549296
prob_A_and_O25,gradient_boosting_pca_without_odds,PCA,0.65,246,65.85365853658537
prob_A_and_O25,gradient_boosting_pca_without_odds,PCA,0.7,132,66.66666666666666
prob_BTTS_N,gradient_boosting_pca_without_odds,PCA,0.65,142,60.56338028169014
prob_BTTS_Y,poisson_pca_without_odds,PCA,0.65,2472,59.3042071197411
prob_BTTS_Y,poisson_pca_without_odds,PCA,0.7,256,57.8125
prob_H,poisson_pca_without_odds,PCA,0.65,13712,74.11026837806301
prob_H,gradient_boosting_pca_without_odds,PCA,0.7,7362,78.40260798696006
prob_H,gradient_boosting_pca_without_odds,PCA,0.75,3502,82.58138206739007
prob_H,gradient_boosting_pca_without_odds,PCA,0.8,1200,85.16666666666667
prob_H,poisson_pca_without_odds,PCA,0.85,988,88.05668016194332
prob_H_and_O15,gradient_boosting_pca_without_odds,PCA,0.65,3896,72.48459958932239
prob_H_and_O15,gradient_boosting_pca_without_odds,PCA,0.7,1632,75.0
prob_H_and_O15,poisson_pca_without_odds,PCA,0.75,1446,78.1466113416321
prob_H_and_O15,gradient_boosting_pca_without_odds,PCA,0.8,148,83.78378378378379
prob_H_and_O15,poisson_pca_without_odds,PCA,0.85,244,88.52459016393442
prob_H_and_O25,gradient_boosting_pca_without_odds,PCA,0.65,436,67.88990825688074
prob_H_and_O25,gradient_boosting_pca_without_odds,PCA,0.7,122,78.68852459016394
prob_H_and_O25,poisson_pca_without_odds,PCA,0.75,276,73.91304347826086
prob_O15,poisson_pca_without_odds,PCA,0.65,216914,75.83281853637848
prob_O15,poisson_pca_without_odds,PCA,0.7,197370,76.67021330496023
prob_O15,poisson_pca_without_odds,PCA,0.75,125392,79.04491514610183
prob_O15,poisson_pca_without_odds,PCA,0.8,38560,83.15871369294607
prob_O15,poisson_pca_without_odds,PCA,0.85,8654,86.15669054772358
prob_O25,poisson_pca_without_odds,PCA,0.65,9666,67.84605834885164
prob_O25,gradient_boosting_pca_without_odds,PCA,0.7,2824,69.05099150141643
prob_O25,gradient_boosting_pca_without_odds,PCA,0.75,928,74.13793103448276
prob_O25,gradient_boosting_pca_without_odds,PCA,0.8,310,82.58064516129032
prob_O25_and_BTTS_Y,monte_carlo_enhanced_pca_without_odds,PCA,0.65,150,46.666666666666664
prob_O35,gradient_boosting_pca_without_odds,PCA,0.65,202,64.35643564356435
prob_U25,poisson_pca_without_odds,PCA,0.65,458,65.50218340611352
prob_U35,poisson_pca_without_odds,PCA,0.65,179928,72.1644213240852
prob_U35,poisson_pca_without_odds,PCA,0.7,116638,74.44400624153363
prob_U35,poisson_pca_without_odds,PCA,0.75,43720,77.96889295516928
prob_U35,poisson_pca_without_odds,PCA,0.8,6012,81.27079174983368
prob_U35,poisson_pca_without_odds,PCA,0.85,194,86.5979381443299
prob_X2,gradient_boosting_pca_without_odds,PCA,0.65,48190,73.74144013280764
prob_X2,gradient_boosting_pca_without_odds,PCA,0.7,26972,77.63606703247812
prob_X2,gradient_boosting_pca_without_odds,PCA,0.75,13556,81.79403953968722
prob_X2,gradient_boosting_pca_without_odds,PCA,0.8,6074,85.64372736252881
