market_suffix,BestModel_PCA,OOT_PCA,Bets_In_OOT_Bin_PCA,WR_In_OOT_Bin_PCA(%),Bets_Onwards_PCA,WR_Onwards_PCA(%),BestModel_NonPCA,OOT_NonPCA,Bets_In_OOT_Bin_NonPCA,WR_In_OOT_Bin_NonPCA(%),Bets_Onwards_NonPCA,WR_Onwards_NonPCA(%),WR_Diff (NonPCA-PCA)
prob_1X_and_O15,poisson_pca_without_odds,0.625,10798,62.94684200777921,23178,68.53050306324964,gradient_boosting__without_odds,0.675,2513.0,64.34540389972145,5375.0,70.36279069767441,1.8322876344247732
prob_1X_and_U45,poisson_pca_without_odds,0.625,26510,63.870237646171255,55255,66.82834132657678,poisson__without_odds,0.675,10947.0,67.95469078286288,12655.0,68.35242986961674,1.5240885430399658
prob_12_and_O15,poisson_pca_without_odds,0.625,20190,63.55126300148588,32197,66.12417305960183,gradient_boosting__without_odds,0.675,2819.0,64.1716920893934,4878.0,67.30217302173021,1.177999962128382
prob_X2_and_O15,gradient_boosting_pca_without_odds,0.625,2968,62.87061994609165,6200,66.69354838709678,poisson__without_odds,0.625,1053.0,62.01329534662868,2483.0,67.05598066854611,0.3624322814493297
prob_H_and_O15,gradient_boosting_pca_without_odds,0.625,1764,64.56916099773242,3712,68.72306034482759,gradient_boosting__without_odds,0.625,753.0,63.87782204515272,1988.0,68.91348088531187,0.1904205404842827
prob_1X,poisson_pca_without_odds,0.075,29,17.24137931034483,109754,68.64533411082967,gradient_boosting__without_odds,0.225,129.0,27.906976744186046,109422.0,68.72018424082908,0.07485012999941887
prob_12,gradient_boosting_pca_without_odds,0.675,249,71.4859437751004,109756,75.58128940559058,poisson__without_odds,0.7250000000000001,74048.0,75.00135047536733,109509.0,75.58830781031696,0.0070184047263808225
prob_U35,gradient_boosting_pca_without_odds,0.275,26,30.76923076923077,109740,69.99544377619829,gradient_boosting__without_odds,0.425,167.0,59.88023952095808,109345.0,69.98673921990031,-0.008704556297971067
prob_O15,gradient_boosting_pca_without_odds,0.5750000000000001,168,76.78571428571429,109742,75.7157697144211,gradient_boosting__without_odds,0.525,106.0,75.47169811320755,109477.0,75.68895749792193,-0.026812216499166652
prob_A,poisson_pca_without_odds,0.625,1180,63.389830508474574,2815,67.67317939609237,poisson__without_odds,0.5750000000000001,720.0,60.416666666666664,2063.0,67.13523994183228,-0.5379394542600835
prob_X2_and_U45,poisson_pca_without_odds,0.675,4745,67.3972602739726,5837,68.71680657872194,gradient_boosting__without_odds,0.675,1738.0,67.26121979286536,2520.0,67.14285714285714,-1.5739494358648045
prob_H,gradient_boosting_pca_without_odds,0.625,5064,63.447867298578196,12006,69.28202565383975,gradient_boosting__without_odds,0.625,1912.0,58.10669456066946,5271.0,67.63422500474293,-1.6478006490968227
prob_X2,gradient_boosting_pca_without_odds,0.625,14526,63.424204874019,38621,69.8609564744569,poisson__without_odds,0.625,10180.0,63.1139489194499,19123.0,68.15876170057,-1.7021947738869017
prob_12_and_O25,poisson_pca_without_odds,0.7250000000000001,412,68.20388349514563,700,70.28571428571428,,,,,,,
prob_1X_and_O25,poisson_pca_without_odds,0.675,549,62.295081967213115,1058,66.72967863894141,,,,,,,
prob_A_and_O15,gradient_boosting_pca_without_odds,0.625,339,67.84660766961652,742,69.54177897574124,,,,,,,
prob_A_and_O25,gradient_boosting_pca_without_odds,0.675,57,64.91228070175438,123,65.85365853658537,,,,,,,
prob_H_and_O25,gradient_boosting_pca_without_odds,0.675,157,63.69426751592356,218,67.88990825688074,,,,,,,
prob_O25,poisson_pca_without_odds,0.675,3113,67.23417924831352,4833,67.84605834885164,,,,,,,
prob_U25,poisson_pca_without_odds,0.675,229,65.50218340611353,229,65.50218340611353,,,,,,,
prob_X2_and_O25,gradient_boosting_pca_without_odds,0.675,122,59.83606557377049,283,67.13780918727915,,,,,,,
prob_goals_3_plus,poisson_pca_without_odds,0.675,3113,67.23417924831352,4833,67.84605834885164,,,,,,,
