,,avg_pred_prob_below_oot,avg_pred_prob_below_oot,num_bets_below_oot,num_bets_below_oot,wr_below_oot_pct,wr_below_oot_pct
model_full_name,,gradient_boosting__without_odds,poisson__without_odds,gradient_boosting__without_odds,poisson__without_odds,gradient_boosting__without_odds,poisson__without_odds
feature_type,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
market_suffix,oot_compared_against,,,,,,
prob_12,0.7250000000000001,,0.7222003410000998,,61.0,,70.49180327868852
prob_12_and_O15,0.675,0.571829437570726,,106371.0,,57.96974739355652,
prob_1X,0.225,0.17577271117026055,,138.0,,23.18840579710145,
prob_1X_and_O15,0.675,0.5212042485157714,,105718.0,,51.101988308518884,
prob_1X_and_U45,0.675,,0.5955321477492452,,103579.0,,58.70108805839022
prob_A,0.5750000000000001,,0.3005085227370424,,107809.0,,30.717287053956532
prob_H,0.625,0.43549228226039693,,105344.0,,43.236444410692584,
prob_H_and_O15,0.625,0.3425975324039963,,107913.0,,33.961617228693484,
prob_O15,0.525,0.4953165758624567,,66.0,,71.21212121212122,
prob_U35,0.425,0.36308245567479297,,237.0,,49.36708860759494,
prob_X2,0.625,,0.5341183356199334,,96793.0,,53.641275712086625
prob_X2_and_O15,0.625,,0.4044500490011121,,107599.0,,40.684392977629905
prob_X2_and_U45,0.675,0.48657495420824015,,108041.0,,48.69910496940976,
