model,market_suffix,prob_bin_label,prob_bin_mid,num_bets,actual_win_rate_pct,avg_pred_prob,wins_in_bin,cumulative_bets_onwards,cumulative_wins_onwards,cumulative_wr_onwards
gradient_boosting__without_odds,prob_12,[0.65-0.70),0.675,519,71.29094412331408,0.6876544421232891,370.0,109492,82762.0,75.5872575165309
gradient_boosting__without_odds,prob_12,[0.70-0.75),0.7250000000000001,61893,74.58517118252468,0.7425591000147067,46163.0,108973,82392.0,75.60771934332358
gradient_boosting__without_odds,prob_12,[0.75-0.80),0.775,42997,76.32160383282555,0.7614806677004383,32816.0,47080,36229.0,76.95199660152932
gradient_boosting__without_odds,prob_12,[0.80-0.85),0.8250000000000001,2851,82.04138898632058,0.8205217708366316,2339.0,4083,3413.0,83.59049718344355
gradient_boosting__without_odds,prob_12,[0.85-0.90),0.875,989,86.85540950455005,0.8695312373927568,859.0,1232,1074.0,87.17532467532467
gradient_boosting__without_odds,prob_12,[0.90-0.95),0.925,243,88.47736625514403,0.9195287566962564,215.0,243,215.0,88.47736625514403
gradient_boosting__without_odds,prob_12_and_BTTS_N,[0.20-0.25),0.225,36,55.55555555555556,0.23433737323999315,20.0,109484,45150.0,41.23890248803478
gradient_boosting__without_odds,prob_12_and_BTTS_N,[0.25-0.30),0.275,263,36.88212927756654,0.28291216662058183,97.0,109448,45130.0,41.2341934069147
gradient_boosting__without_odds,prob_12_and_BTTS_N,[0.30-0.35),0.32500000000000007,3815,41.36304062909568,0.337314092429592,1578.0,109185,45033.0,41.2446764665476
gradient_boosting__without_odds,prob_12_and_BTTS_N,[0.35-0.40),0.375,75752,41.27415777801246,0.3837746674885647,31266.0,105370,43455.0,41.24039100313182
gradient_boosting__without_odds,prob_12_and_BTTS_N,[0.40-0.45),0.42500000000000004,23253,40.59261170601643,0.4190285531215027,9439.0,29618,12189.0,41.15402795597272
gradient_boosting__without_odds,prob_12_and_BTTS_N,[0.45-0.50),0.475,4715,41.69671261930011,0.46878697130142,1966.0,6365,2750.0,43.20502749410841
gradient_boosting__without_odds,prob_12_and_BTTS_N,[0.50-0.55),0.525,1191,45.50797649034425,0.5192906732626005,542.0,1650,784.0,47.515151515151516
gradient_boosting__without_odds,prob_12_and_BTTS_N,[0.55-0.60),0.5750000000000001,352,52.55681818181818,0.5694208287363997,185.0,459,242.0,52.723311546840954
