Market,Best Model,Min. Pred. Prob (OOT),OOT Bin Label,Bets From OOT Onwards,WR From OOT Onwards (%),WR In OOT Bin (%),Bets In OOT Bin
prob_O15,gradient_boosting__without_odds,0.525,[0.50-0.55),109477,75.68895749792193,75.47169811320755,106
prob_12,poisson__without_odds,0.7250000000000001,[0.70-0.75),109509,75.58830781031696,75.00135047536733,74048
prob_1X_and_O15,gradient_boosting__without_odds,0.675,[0.65-0.70),5375,70.36279069767441,64.34540389972145,2513
prob_U35,gradient_boosting__without_odds,0.42500000000000004,[0.40-0.45),109345,69.98673921990031,59.88023952095808,167
prob_H_and_O15,gradient_boosting__without_odds,0.625,[0.60-0.65),1988,68.91348088531187,63.87782204515272,753
prob_1X,gradient_boosting__without_odds,0.225,[0.20-0.25),109422,68.72018424082908,27.906976744186046,129
prob_1X_and_U45,poisson__without_odds,0.675,[0.65-0.70),12655,68.35242986961674,67.95469078286288,10947
prob_X2,poisson__without_odds,0.625,[0.60-0.65),19123,68.15876170057,63.1139489194499,10180
prob_H,gradient_boosting__without_odds,0.625,[0.60-0.65),5271,67.63422500474293,58.10669456066946,1912
prob_12_and_O15,gradient_boosting__without_odds,0.675,[0.65-0.70),4878,67.30217302173021,64.1716920893934,2819
prob_X2_and_U45,gradient_boosting__without_odds,0.675,[0.65-0.70),2520,67.14285714285714,67.26121979286536,1738
prob_A,poisson__without_odds,0.5750000000000001,[0.55-0.60),2063,67.13523994183228,60.416666666666664,720
prob_X2_and_O15,poisson__without_odds,0.625,[0.60-0.65),2483,67.05598066854611,62.01329534662868,1053
