model,market_suffix,oot_threshold_prob_mid,oot_prob_bin_label,wr_in_oot_bin,bets_in_oot_bin,cumulative_wr_at_oot,cumulative_bets_at_oot
poisson__without_odds,prob_12,0.7250000000000001,[0.70-0.75),75.00135047536733,74048,75.58830781031696,109509
gradient_boosting__without_odds,prob_12,0.675,[0.65-0.70),71.29094412331408,519,75.5872575165309,109492
gradient_boosting__without_odds,prob_12_and_O15,0.675,[0.65-0.70),64.1716920893934,2819,67.30217302173021,4878
poisson__without_odds,prob_12_and_O15,0.625,[0.60-0.65),60.664001390578825,5753,65.10011411972197,9639
gradient_boosting__without_odds,prob_1X,0.225,[0.20-0.25),27.906976744186046,129,68.72018424082908,109422
poisson__without_odds,prob_1X,0.225,[0.20-0.25),17.333333333333336,150,68.706544481092,109451
gradient_boosting__without_odds,prob_1X_and_O15,0.675,[0.65-0.70),64.34540389972145,2513,70.36279069767441,5375
poisson__without_odds,prob_1X_and_O15,0.625,[0.60-0.65),63.49288486416559,3865,68.87686062246279,8868
poisson__without_odds,prob_1X_and_U45,0.675,[0.65-0.70),67.95469078286288,10947,68.35242986961674,12655
gradient_boosting__without_odds,prob_1X_and_U45,0.675,[0.65-0.70),65.78182991770211,12394,66.52005324382198,17279
poisson__without_odds,prob_A,0.5750000000000001,[0.55-0.60),60.416666666666664,720,67.13523994183228,2063
gradient_boosting__without_odds,prob_A,0.625,[0.60-0.65),62.661737523105366,541,66.40563821456539,1277
gradient_boosting__without_odds,prob_H,0.625,[0.60-0.65),58.10669456066946,1912,67.63422500474293,5271
poisson__without_odds,prob_H,0.5750000000000001,[0.55-0.60),56.34064708069915,2689,65.79016913319239,7568
gradient_boosting__without_odds,prob_H_and_O15,0.625,[0.60-0.65),63.87782204515272,753,68.91348088531187,1988
poisson__without_odds,prob_H_and_O15,0.5750000000000001,[0.55-0.60),59.462151394422314,1004,67.32244081360453,2999
gradient_boosting__without_odds,prob_O15,0.525,[0.50-0.55),75.47169811320755,106,75.68895749792193,109477
poisson__without_odds,prob_O15,0.675,[0.65-0.70),78.1021897810219,137,75.68784300833723,109509
gradient_boosting__without_odds,prob_U35,0.42500000000000004,[0.40-0.45),59.88023952095808,167,69.98673921990031,109345
poisson__without_odds,prob_U35,0.475,[0.45-0.50),45.83333333333333,168,69.96181044091581,109454
poisson__without_odds,prob_X2,0.625,[0.60-0.65),63.1139489194499,10180,68.15876170057,19123
gradient_boosting__without_odds,prob_X2,0.625,[0.60-0.65),61.8288658134106,12423,66.59025787965615,24430
poisson__without_odds,prob_X2_and_O15,0.625,[0.60-0.65),62.01329534662868,1053,67.05598066854611,2483
gradient_boosting__without_odds,prob_X2_and_O15,0.625,[0.60-0.65),63.31845238095239,1344,65.13040371561272,2799
gradient_boosting__without_odds,prob_X2_and_U45,0.675,[0.65-0.70),67.26121979286536,1738,67.14285714285714,2520
poisson__without_odds,prob_X2_and_U45,0.625,[0.60-0.65),62.428662016487,3154,65.53372278279342,5649
