model,market_suffix,prob_bin_label,prob_bin_mid,num_bets,actual_win_rate_pct,avg_pred_prob
poisson__without_odds,prob_12,[0.70-0.75),0.7250000000000001,74048,75.00135047536733,0.7446480892694732
gradient_boosting__without_odds,prob_12,[0.70-0.75),0.7250000000000001,61893,74.58517118252468,0.7425591000147067
poisson__without_odds,prob_12_and_O15,[0.70-0.75),0.7250000000000001,1077,73.35190343546888,0.7224663401398392
poisson__without_odds,prob_1X,[0.75-0.80),0.775,7079,77.9912417008052,0.7700516601140236
gradient_boosting__without_odds,prob_1X,[0.75-0.80),0.775,12389,75.95447574461215,0.7708555129879029
poisson__without_odds,prob_1X_and_O15,[0.70-0.75),0.7250000000000001,1284,72.97507788161994,0.7231867395063314
gradient_boosting__without_odds,prob_O15,[0.60-0.65),0.625,1388,74.63976945244957,0.6307570724107622
poisson__without_odds,prob_O15,[0.70-0.75),0.7250000000000001,38012,74.31337472377145,0.7415813526166084
poisson__without_odds,prob_U35,[0.75-0.80),0.775,1354,75.33234859675036,0.7590915807739732
gradient_boosting__without_odds,prob_U35,[0.75-0.80),0.775,9260,74.25485961123111,0.7701704474577842
poisson__without_odds,prob_X2,[0.70-0.75),0.7250000000000001,2128,72.83834586466166,0.7229293468224502
gradient_boosting__without_odds,prob_X2,[0.70-0.75),0.7250000000000001,2947,71.90363081099423,0.7215825297262557
