Market,Best Model,Min. Pred. Prob (OOT),OOT Bin Label,Bets From OOT Onwards,WR From OOT Onwards (%),WR In OOT Bin (%),Bets In OOT Bin
prob_O15,gradient_boosting_pca_without_odds,0.5750000000000001,[0.55-0.60),109742,75.7157697144211,76.78571428571429,168
prob_12,gradient_boosting_pca_without_odds,0.675,[0.65-0.70),109756,75.58128940559058,71.4859437751004,249
prob_12_and_O25,poisson_pca_without_odds,0.7250000000000001,[0.70-0.75),700,70.28571428571428,68.20388349514563,412
prob_U35,gradient_boosting_pca_without_odds,0.275,[0.25-0.30),109740,69.99544377619829,30.76923076923077,26
prob_X2,gradient_boosting_pca_without_odds,0.625,[0.60-0.65),38621,69.8609564744569,63.424204874019,14526
prob_A_and_O15,gradient_boosting_pca_without_odds,0.625,[0.60-0.65),742,69.54177897574124,67.84660766961652,339
prob_H,gradient_boosting_pca_without_odds,0.625,[0.60-0.65),12006,69.28202565383975,63.447867298578196,5064
prob_H_and_O15,gradient_boosting_pca_without_odds,0.625,[0.60-0.65),3712,68.72306034482759,64.56916099773242,1764
prob_X2_and_U45,poisson_pca_without_odds,0.675,[0.65-0.70),5837,68.71680657872194,67.3972602739726,4745
prob_1X,poisson_pca_without_odds,0.07500000000000001,[0.05-0.10),109754,68.64533411082967,17.24137931034483,29
prob_1X_and_O15,poisson_pca_without_odds,0.625,[0.60-0.65),23178,68.53050306324964,62.94684200777921,10798
prob_H_and_O25,gradient_boosting_pca_without_odds,0.675,[0.65-0.70),218,67.88990825688074,63.69426751592356,157
prob_O25,poisson_pca_without_odds,0.675,[0.65-0.70),4833,67.84605834885164,67.23417924831352,3113
prob_goals_3_plus,poisson_pca_without_odds,0.675,[0.65-0.70),4833,67.84605834885164,67.23417924831352,3113
prob_A,poisson_pca_without_odds,0.625,[0.60-0.65),2815,67.67317939609237,63.389830508474574,1180
prob_X2_and_O25,gradient_boosting_pca_without_odds,0.675,[0.65-0.70),283,67.13780918727915,59.83606557377049,122
prob_1X_and_U45,poisson_pca_without_odds,0.625,[0.60-0.65),55255,66.82834132657678,63.870237646171255,26510
prob_1X_and_O25,poisson_pca_without_odds,0.675,[0.65-0.70),1058,66.72967863894141,62.295081967213115,549
prob_X2_and_O15,gradient_boosting_pca_without_odds,0.625,[0.60-0.65),6200,66.69354838709678,62.870619946091644,2968
prob_12_and_O15,poisson_pca_without_odds,0.625,[0.60-0.65),32197,66.12417305960183,63.55126300148588,20190
prob_A_and_O25,gradient_boosting_pca_without_odds,0.675,[0.65-0.70),123,65.85365853658537,64.91228070175438,57
prob_U25,poisson_pca_without_odds,0.675,[0.65-0.70),229,65.50218340611353,65.50218340611353,229
