model,market_suffix,oot_threshold_prob_mid,oot_prob_bin_label,wr_in_oot_bin,bets_in_oot_bin,cumulative_wr_at_oot,cumulative_bets_at_oot
gradient_boosting_pca_without_odds,prob_12,0.675,[0.65-0.70),71.4859437751004,249,75.58128940559058,109756
poisson_pca_without_odds,prob_12,0.675,[0.65-0.70),65.67164179104478,134,75.58057962299907,109761
monte_carlo_enhanced_pca_without_odds,prob_12,0.675,[0.65-0.70),75.90361445783132,249,75.5803782936696,109756
poisson_pca_without_odds,prob_12_and_O15,0.625,[0.60-0.65),63.55126300148588,20190,66.12417305960183,32197
gradient_boosting_pca_without_odds,prob_12_and_O15,0.625,[0.60-0.65),62.82832220652015,20521,65.51425567443874,32338
poisson_pca_without_odds,prob_12_and_O25,0.7250000000000001,[0.70-0.75),68.20388349514563,412,70.28571428571428,700
gradient_boosting_pca_without_odds,prob_12_and_O25,0.675,[0.65-0.70),64.85411140583554,754,67.16287215411558,1142
poisson_pca_without_odds,prob_1X,0.07500000000000001,[0.05-0.10),17.24137931034483,29,68.64533411082967,109754
gradient_boosting_pca_without_odds,prob_1X,0.125,[0.10-0.15),12.903225806451612,31,68.64345782045793,109757
monte_carlo_enhanced_pca_without_odds,prob_1X,0.125,[0.10-0.15),48.38709677419355,31,68.6425467168381,109757
poisson_pca_without_odds,prob_1X_and_O15,0.625,[0.60-0.65),62.94684200777921,10798,68.53050306324964,23178
gradient_boosting_pca_without_odds,prob_1X_and_O15,0.625,[0.60-0.65),63.11155577788894,9995,67.97400070746374,22616
poisson_pca_without_odds,prob_1X_and_O25,0.675,[0.65-0.70),62.295081967213115,549,66.72967863894141,1058
gradient_boosting_pca_without_odds,prob_1X_and_O25,0.625,[0.60-0.65),62.757201646090536,972,65.56543837357052,1574
poisson_pca_without_odds,prob_1X_and_U45,0.625,[0.60-0.65),63.870237646171255,26510,66.82834132657678,55255
gradient_boosting_pca_without_odds,prob_1X_and_U45,0.625,[0.60-0.65),63.42970564002697,26702,66.24706336126792,57038
poisson_pca_without_odds,prob_A,0.625,[0.60-0.65),63.389830508474574,1180,67.67317939609237,2815
gradient_boosting_pca_without_odds,prob_A,0.5750000000000001,[0.55-0.60),61.00529100529101,1890,66.56770952272208,4379
gradient_boosting_pca_without_odds,prob_A_and_O15,0.625,[0.60-0.65),67.84660766961652,339,69.54177897574124,742
poisson_pca_without_odds,prob_A_and_O15,0.7250000000000001,[0.70-0.75),69.23076923076923,143,68.62745098039215,306
gradient_boosting_pca_without_odds,prob_A_and_O25,0.675,[0.65-0.70),64.91228070175438,57,65.85365853658537,123
gradient_boosting_pca_without_odds,prob_H,0.625,[0.60-0.65),63.447867298578196,5064,69.28202565383975,12006
poisson_pca_without_odds,prob_H,0.5750000000000001,[0.55-0.60),58.173784977908696,8148,65.035140562249,19920
gradient_boosting_pca_without_odds,prob_H_and_O15,0.625,[0.60-0.65),64.56916099773242,1764,68.72306034482759,3712
poisson_pca_without_odds,prob_H_and_O15,0.625,[0.60-0.65),62.094763092269325,1604,67.63754045307444,4017
gradient_boosting_pca_without_odds,prob_H_and_O25,0.675,[0.65-0.70),63.69426751592356,157,67.88990825688074,218
